Cruise,Gear_Type,Gear_Size_[m],Tow_Type,Mesh_Size_[um],Date_Time_Start,Date_Time_End,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Station,Net_Number,Depth_Maximum_[m],Depth_Minimum_[m],Aphia_ID,Organism_Identification,Life_Stage,Individual_Count,Fraction_Assessed,Volume_Filtered_[m3],Abundance_[#/m3],Mean_size_[um],Coeff.Variation_Size_[%],Mean_WetWeight_[ug],Biomass_[mg_WetWeight_m-3]
SKQ202010,Multinet,0.5,Oblique,500,2020-07-02T18:59:05-0800,2020-07-02T19:28:05-0800,-149.4678,59.8476,273.85,GAK01,1,200,100,104075,Aetideidae,C4,1,0.125,148,0.0541,1669,0,468.07,0.0253
SKQ202010,Multinet,0.5,Oblique,500,2020-07-02T18:59:05-0800,2020-07-02T19:28:05-0800,-149.4678,59.8476,273.85,GAK01,1,200,100,104112,Aetideus,C4,1,0.125,148,0.0541,1200.5,0,165.62,0.0090
SKQ202010,Multinet,0.5,Oblique,500,2020-07-02T18:59:05-0800,2020-07-02T19:28:05-0800,-149.4678,59.8476,273.85,GAK01,1,200,100,104275,Aetideus armatus,C5,9,0.125,148,0.4865,1156.1,3.2,147.51,0.0718
SKQ202010,Multinet,0.5,Oblique,500,2020-07-02T18:59:05-0800,2020-07-02T19:28:05-0800,-149.4678,59.8476,273.85,GAK01,1,200,100,104275,Aetideus armatus,C6 AF,7,0.125,148,0.3784,1416.6,2.2,279.46,0.1057
SKQ202010,Multinet,0.5,Oblique,500,2020-07-02T18:59:05-0800,2020-07-02T19:28:05-0800,-149.4678,59.8476,273.85,GAK01,1,200,100,104275,Aetideus armatus,C6 AM,2,0.125,148,0.1081,1350.4,8.7,243.1,0.0263
SKQ202010,Multinet,0.5,Oblique,500,2020-07-02T18:59:05-0800,2020-07-02T19:28:05-0800,-149.4678,59.8476,273.85,GAK01,1,200,100,104115,Bradyidius,C3,17,0.125,148,0.9189,1264.6,5.5,196.99,0.1810
SKQ202010,Multinet,0.5,Oblique,500,2020-07-02T18:59:05-0800,2020-07-02T19:28:05-0800,-149.4678,59.8476,273.85,GAK01,1,200,100,346179,Bradyidius saanichi,C6 AF,2,0.125,148,0.1081,1831.4,9.4,636.64,0.0688
SKQ202010,Multinet,0.5,Oblique,500,2020-07-02T18:59:05-0800,2020-07-02T19:28:05-0800,-149.4678,59.8476,273.85,GAK01,1,200,100,104290,Chiridius gracilis,C4,2,0.125,148,0.1081,1302.3,8.8,216.85,0.0234
SKQ202010,Multinet,0.5,Oblique,500,2020-07-02T18:59:05-0800,2020-07-02T19:28:05-0800,-149.4678,59.8476,273.85,GAK01,1,200,100,104290,Chiridius gracilis,C5,11,0.125,148,0.5946,1629.8,3.3,435.73,0.2591
SKQ202010,Multinet,0.5,Oblique,500,2020-07-02T18:59:05-0800,2020-07-02T19:28:05-0800,-149.4678,59.8476,273.85,GAK01,1,200,100,104290,Chiridius gracilis,C6 AF,3,0.125,148,0.1622,2105.1,5.1,979.12,0.1588
SKQ202010,Multinet,0.5,Oblique,500,2020-07-02T18:59:05-0800,2020-07-02T19:28:05-0800,-149.4678,59.8476,273.85,GAK01,1,200,100,104121,Gaetanus,C6 AF,1,0.125,148,0.0541,2135.6,0,873.25,0.0472
SKQ202010,Multinet,0.5,Oblique,500,2020-07-02T18:59:05-0800,2020-07-02T19:28:05-0800,-149.4678,59.8476,273.85,GAK01,1,200,100,196770,Calanus marshallae,C4,3,0.015625,148,1.2973,2088.1,2.3,608.02,0.7888
SKQ202010,Multinet,0.5,Oblique,500,2020-07-02T18:59:05-0800,2020-07-02T19:28:05-0800,-149.4678,59.8476,273.85,GAK01,1,200,100,196770,Calanus marshallae,C5,50,0.015625,148,21.6216,2638,6.5,1281.73,27.7132
SKQ202010,Multinet,0.5,Oblique,500,2020-07-02T18:59:05-0800,2020-07-02T19:28:05-0800,-149.4678,59.8476,273.85,GAK01,1,200,100,196770,Calanus marshallae,C6 AF,6,0.015625,148,2.5946,2863.7,7.7,1661.83,4.3118
SKQ202010,Multinet,0.5,Oblique,500,2020-07-02T18:59:05-0800,2020-07-02T19:28:05-0800,-149.4678,59.8476,273.85,GAK01,1,200,100,196770,Calanus marshallae,C6 AM,2,0.015625,148,0.8649,2673.6,12,1350.56,1.1681
