Cruise,Gear_Type,Gear_Size_[m],Tow_Type,Mesh_Size_[um],Date_Time_Start,Date_Time_End,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Station,Net_Number,Depth_Maximum_[m],Depth_Minimum_[m],Aphia_ID,Organism_Identification,Life_Stage,Individual_Count,Fraction_Assessed,Volume_Filtered_[m3],Abundance_[#/m3],Mean_size_[um],Coeff.Variation_Size_[%],Mean_WetWeight_[ug],Biomass_[mg_WetWeight_m-3]
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,104275,Aetideus armatus,C5,1,0.25,108,0.0370,1410.6,0,275.4,0.0102
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,104275,Aetideus armatus,C6 AF,4,0.25,108,0.1481,1350.6,13.8,252.24,0.0374
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,104275,Aetideus armatus,C6 AM,3,0.25,108,0.1111,1361.2,10.4,251.94,0.0280
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,104115,Bradyidius,C5,1,0.25,108,0.0370,1490.8,0,327.85,0.0121
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,104117,Chiridius,C4,3,0.25,108,0.1111,1255.2,4.9,191.6,0.0213
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,104290,Chiridius gracilis,C5,1,0.25,108,0.0370,1690.4,0,487.23,0.0180
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,104290,Chiridius gracilis,C6 AF,1,0.25,108,0.0370,1995.7,0,822.47,0.0305
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,346494,Gaetanus simplex,C5,3,0.25,108,0.1111,2273,4.2,1095.52,0.1217
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,196770,Calanus marshallae,C3,1,0.0078125,108,1.1852,1542.3,0,234.74,0.2782
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,196770,Calanus marshallae,C4,41,0.0078125,108,48.5926,2034.6,5.7,565.64,27.4861
